,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Don Jackson,Jackson160RB,Nevada,MWC,UDFA,UDFA,RB,2016,23,2,16.0,315.0,1481.0,4.7,22.0,0,0.7,9.5,14.1,14.1,13.0,87.0,0.3,0.8,0.8,0.5,30.8,8.4,18.4,18.4,13.4,-7.5,-1.9,-1.9,-4.7,63.70,172.40,172.40,118.05,7.08,13.26,13.26,10.17,-1.9,127.0,0.00,4.86,,-7.5,-1.9,,,,29.41413547,107,4.55,70,205,15,38.5,118,4.39,7.14,95.66173869,86.60469203,NA,NA,0,0,0,0,0,1.07
Melvin Gordon,Gordon1515RB,Wisconsin,Big Ten,1,15,RB,2015,22,4,22.0,653.0,5143.0,7.9,41.0,0,0.5,0.0,9.5,5.6,4.4,95.6,0.1,2.9,2.9,1.4,60.3,1.3,37.0,37.0,16.7,-7.2,21.0,21.0,1.5,15.80,485.00,485.00,207.58,5.27,34.64,34.64,16.64,-1.1,133.3,13.07,12.45,-7.2,-6.9,-0.8,21.0,,,28.65922727,121,4.52,72.625,215,19,35,126,4.07,7.04,103.01838,100.4061683,9.75,32.375,0,3,4,4,3,15.29
Todd Gurley,Gurley1510RB,Georgia,SEC,1,10,RB,2015,21,3,65.0,575.0,3900.0,6.8,30.0,1,2.2,7.8,30.8,5.9,15.8,84.2,1.7,1.7,1.1,1.4,39.5,27.4,13.3,28.1,22.9,19.0,-7.0,19.0,8.1,268.20,165.30,276.00,236.50,19.16,27.55,27.60,24.77,3.4,189.8,11.32,9.51,19.0,12.2,-7.0,,,,29.59231839,NA,NA,72.625,222,17,NA,NA,NA,NA,NA,NA,10,31.5,2,3,5,5,4,18.19666667
Duke Johnson,Johnson1577RB,Miami (FL),ACC,3,77,RB,2015,21,3,69.0,595.0,4238.0,7.1,33.0,2,2.1,18.9,20.3,20.3,17.0,83.0,1.4,2.5,2.5,1.7,60.5,29.4,36.4,36.4,27.8,20.9,16.1,20.9,12.9,214.20,323.30,323.30,225.73,17.85,24.87,24.87,20.06,5.7,118.5,10.77,11.34,20.9,1.6,16.1,,,,30.45778833,112.3,4.55,69.125,207,18,34.25,121,4.21,6.93,96.59502395,85.27657725,9.25,30.375,0,1,2,4,0,11.15666667
Tevin Coleman,Coleman1573RB,Indiana,Big Ten,3,73,RB,2015,22,3,54.0,506.0,3602.0,7.1,31.0,1,1.7,17.9,17.9,6.5,10.6,89.4,0.3,2.6,2.6,1.4,58.0,5.0,31.1,31.1,19.7,-10.9,15.1,15.1,2.3,43.40,332.70,332.70,194.07,4.34,27.73,27.73,18.32,-0.5,138.8,10.44,10.66,,-10.9,2.8,15.1,,,28.429766,NA,4.45,71.375,206,22,NA,NA,NA,NA,105.064784,98.8954163,8.625,32,0,0,3,3,0,10.10666667
TJ Yeldon,Yeldon1536RB,Alabama,SEC,2,36,RB,2015,21,3,46.0,622.0,3816.0,6.1,39.0,1,1.2,10.6,15.5,15.5,12.9,87.1,1.4,1.7,1.1,1.4,40.2,18.6,18.2,25.4,20.7,10.2,-2.0,10.2,5.9,212.90,202.90,245.80,220.53,15.21,15.61,20.48,17.10,2.6,129.3,10.25,8.87,10.2,9.4,-2.0,,,,29.61361926,120.3,4.59,73.25,226,22,36,117,4.22,7.19,101.8328017,100.976212,9,31.625,0,0,2,3,0,10.70666667
Ameer Abdullah,Abdullah1554RB,Nebraska,Big Ten,2,54,RB,2015,22,4,73.0,886.0,5278.0,6.0,52.0,3,1.4,6.8,14.3,14.3,13.1,86.9,0.2,2.0,2.0,1.4,54.9,3.8,31.9,31.9,20.5,-4.6,15.9,15.9,5.3,35.10,342.00,342.00,219.20,2.93,26.31,26.31,16.62,1.8,113.2,9.64,8.65,-4.6,1.7,8.4,15.9,,,30.60465256,138.7,4.6,68.625,205,24,42.5,NA,3.95,6.79,91.56985574,79.67240112,8.625,30,0,0,0,0,0,10.01
Ty Montgomery,Montgomery1594RB,Stanford,Pac-12,3,94,RB,2015,22,4,172.0,211.0,2459.0,11.7,41.0,4,4.2,89.3,105.4,80.7,86.4,13.6,0.4,1.3,0.9,0.7,6.2,4.9,11.6,23.5,10.5,-3.6,-4.4,3.3,-4.7,81.20,159.80,244.70,132.98,11.60,14.53,17.48,12.18,-2.4,NA,8.36,8.26,-3.6,-14.1,3.3,-4.4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,10.32333333
Jay Ajayi,Ajayi15149RB,Boise State,MWC,5,149,RB,2015,22,3,73.0,751.0,4567.0,6.1,38.0,2,1.9,2.5,22.7,22.7,16.9,83.1,0.7,2.3,2.3,1.5,65.8,10.3,40.0,40.0,26.7,-5.6,24.0,24.0,9.3,81.20,477.80,477.80,286.57,7.38,34.13,34.13,21.55,2.1,126.6,8.32,10.40,,-5.6,9.4,24.0,,,30.60700565,123.5,4.57,71.25,221,19,39,121,4.1,7.1,101.3345327,95.06198884,10,32,0,0,1,2,2,10.13666667
Javorius Allen,Allen15125RB,USC,Pac-12,4,125,RB,2015,24,3,63.0,480.0,3016.0,6.3,28.0,2,2.3,0.0,24.3,23.5,23.5,76.5,0.0,2.0,2.0,1.1,65.7,0.4,36.5,36.5,20.1,-19.9,29.5,29.5,5.7,3.20,307.70,307.70,175.53,1.07,23.67,23.67,14.24,-1.5,131.6,7.48,8.12,,,-19.9,7.3,29.5,,29.45901966,102.8,4.53,72.625,221,11,35.5,121,4.28,6.96,104.9613629,102.3046963,9.375,31.75,0,0,1,2,0,7.506666667
Jeremy Langford,Langford15106RB,Michigan State,Big Ten,4,106,RB,2015,23,3,39.0,616.0,3186.0,5.2,28.0,1,1.4,0.0,9.9,3.9,6.9,93.1,0.0,1.6,1.6,1.1,58.7,0.3,25.3,36.3,20.6,-20.0,18.3,20.3,6.2,2.30,301.40,301.40,201.20,2.30,23.18,23.18,15.64,-1.3,144.3,7.30,7.07,,,-20.0,20.3,18.3,,28.50574346,114.1,4.42,71.625,208,19,34.5,118,4.34,7.22,108.9944171,103.3167462,8.75,31.5,0,0,1,1,0,8.29
Mike Davis,Davis15126RB,South Carolina,SEC,4,126,RB,2015,22,3,70.0,524.0,3195.0,6.1,37.0,2,1.9,11.3,27.3,27.3,23.6,76.4,0.4,1.7,1.4,1.2,43.2,6.7,25.7,25.7,18.8,-9.2,9.7,9.7,1.4,47.00,233.00,253.50,177.83,3.92,17.92,21.13,14.32,-0.4,109.4,7.28,7.85,,-9.2,3.9,9.7,,,31.92917907,109.2,4.6,69.125,217,17,34.75,116,4.18,7,96.93004242,85.57979838,NA,NA,0,0,0,0,0,4.526666667
Karlos Williams,Williams15155RB,Florida State,ACC,5,155,RB,2015,22,2,37.0,278.0,1747.0,6.3,25.0,1,1.5,7.9,27.8,27.8,18.8,81.2,0.8,1.0,1.0,0.9,37.8,13.2,21.4,21.4,17.3,-7.1,5.4,5.4,-0.8,153.30,196.40,196.40,174.85,11.79,16.37,16.37,14.08,-0.9,135.4,6.97,8.53,,,-7.1,5.4,,,30.24087724,105.9,4.48,73.125,230,16,33.5,117,4.46,7.16,114.1946547,112.8508435,9.75,33,0,0,0,0,0,11.46
Matt Jones,Jones1595RB,Florida,SEC,3,95,RB,2015,22,3,19.0,315.0,1534.0,4.9,25.0,0,0.8,3.5,7.4,7.4,6.5,93.5,0.4,1.1,1.1,0.7,31.2,6.3,17.7,17.7,10.9,-9.6,1.7,1.7,-6.5,49.80,141.20,141.20,81.47,5.53,12.84,12.84,9.68,-3.5,129.1,6.25,5.00,,-9.6,-11.6,1.7,,,29.36001883,112.7,4.635,74.375,231,20,31.5,112,4.465,6.89,100.1020615,102.3384816,NA,NA,-,-,-,-,-,-
David Cobb,Cobb15138RB,Minnesota,Big Ten,5,138,RB,2015,22,4,34.0,597.0,3235.0,5.4,30.0,0,1.1,0.0,27.3,9.0,10.5,89.5,0.1,2.1,2.1,1.0,49.3,0.7,26.8,26.8,12.3,-7.7,10.8,10.8,-2.8,5.70,273.55,273.55,119.49,1.90,21.04,21.04,10.04,-2.7,135.3,5.19,5.07,-7.7,-15.8,1.4,10.8,,,32.05144736,100.3,4.795,70.875,229,17,38.5,121,4.6,7.06,86.63852142,80.42649176,9.375,31.625,0,0,0,0,0,1.35
Cameron Artis-Payne,Artis-Payne15174RB,Auburn,SEC,5,174,RB,2015,23,2,14.0,408.0,2369.0,5.8,26.0,0,0.5,0.7,8.4,8.4,6.4,93.6,0.6,1.9,1.9,1.2,44.5,6.5,23.5,23.5,15.0,-9.5,16.5,16.5,3.5,98.40,266.50,266.50,182.45,7.57,20.50,20.50,14.03,0.4,123.7,5.01,6.23,,,,-9.5,16.5,,30.63696528,117.7,4.53,69.75,212,NA,36.5,118,4.3,7.13,100.6869183,90.50920451,8.875,29.625,0,0,0,0,0,5.826666667
Josh Robinson,Robinson15205RB,Mississippi State,SEC,6,205,RB,2015,23,3,43.0,366.0,2490.0,6.8,38.0,1,1.1,2.3,23.5,23.5,19.8,80.2,0.4,1.6,1.6,0.9,38.5,5.9,22.6,22.6,12.2,-10.1,6.6,6.6,-5.2,43.30,257.30,257.30,129.33,3.61,19.79,19.79,10.04,-3.4,89.6,4.26,6.31,,-10.1,-12.1,6.6,,,33.11603676,98.6,4.685,67.875,217,21,32,113,4.63,7.29,90.08476472,76.68301373,NA,NA,0,0,0,0,0,2.64
Jalston Fowler,Fowler15108RB,Alabama,SEC,4,108,RB,2015,25,4,8.0,109.0,690.0,6.3,25.0,0,0.3,0.0,14.6,14.6,3.0,97.0,0.1,0.5,0.1,0.2,7.2,2.0,5.1,6.4,3.5,-18.3,4.9,4.9,-7.3,17.10,47.30,62.50,34.25,3.42,5.26,6.94,5.17,-3.4,113.2,3.75,1.61,,,-18.3,-9.6,-6.3,4.9,35.42544599,107.2,4.925,71,254,23,33.5,114,4.4,7.56,86.34531395,80.45069868,10.5,32.75,-,-,-,-,-,-
Michael Burton,Burton15168RB,Rutgers,Big Ten,5,168,RB,2015,23,4,47.0,69.0,517.0,7.5,33.0,0,1.4,60.7,98.7,98.7,77.6,22.4,0.1,0.2,0.2,0.1,0.9,2.6,1.3,4.4,2.2,-13.3,-5.7,-5.7,-12.6,27.20,30.10,52.00,29.15,3.89,2.74,4.73,3.29,-6.1,108.5,2.86,2.63,,-13.3,-19.8,-11.6,-5.7,,33.51536365,NA,4.74,71.25,242,27.5,31.5,115.5,4.335,7.165,95.88087638,89.95932257,NA,NA,0,0,0,0,0,0.83
Aaron Ripkowski,Ripkowski15206RB,Oklahoma,Big 12,6,206,RB,2015,22,2,8.0,14.0,54.0,3.9,6.0,0,1.3,100.0,100.0,74.5,75.9,24.1,0.0,0.1,0.1,0.0,3.9,1.1,3.8,3.8,2.5,-19.1,-12.2,-12.2,-15.7,7.30,36.10,36.10,21.70,7.30,7.22,7.30,7.26,-4.8,136.7,2.27,3.23,,,-19.1,-12.2,,,31.07985871,NA,4.75,73.375,238,NA,33,113,4.38,7.64,93.50450043,93.04259195,NA,NA,0,0,0,0,0,2.45
Marcus Murphy,Murphy15230RB,Missouri,SEC,7,230,RB,2015,23,4,50.0,387.0,2275.0,5.9,44.0,1,1.1,2.7,18.7,18.7,14.0,86.0,0.2,1.2,1.2,0.6,30.6,4.0,18.0,18.0,10.0,-4.5,11.1,11.1,-3.0,32.60,171.60,171.60,96.38,5.43,12.26,12.26,7.96,-2.6,122.6,1.86,3.55,-4.5,,-14.8,-3.7,11.1,,29.02424542,84,4.62,68.375,193,12.5,29.75,112,4.425,7.18,84.72652655,73.1727788,8.625,31,0,0,0,0,0,0.65
Joey Iosefa,Iosefa15231RB,Hawaii,MWC,7,231,RB,2015,24,4,60.0,572.0,2656.0,4.6,32.0,1,1.9,18.2,24.8,11.0,16.5,83.5,0.8,0.8,0.7,0.7,45.4,20.5,21.9,22.4,19.8,0.2,21.6,21.6,9.0,135.00,133.30,135.00,120.29,10.38,22.22,23.55,17.01,1.6,148.8,1.24,2.63,,,0.2,-1.4,15.5,21.6,33.73272686,118,4.935,71.75,247,29,32,111,4.33,7.19,83.2872113,79.24739982,10.25,31.75,0,0,0,0,0,2.55
Corey Grant,Grant150RB,Auburn,SEC,UDFA,UDFA,RB,2015,23,3,14.0,149.0,1140.0,7.7,29.0,0,0.5,0.0,20.2,20.2,8.8,91.2,0.0,0.7,0.5,0.4,11.7,0.4,6.9,6.9,4.7,-19.9,0.0,0.0,-9.7,2.90,79.60,105.50,62.67,1.45,6.12,7.54,5.04,-3.9,167.9,0.00,6.31,,,-19.9,-9.3,0.0,,29.79004375,135.2,4.33,68.875,201,22,37,127,4.13,7.05,114.3600845,100.2247125,NA,NA,0,0,0,0,0,3.246666667
Thomas Rawls,Rawls150RB,Central Michigan,MAC,UDFA,UDFA,RB,2015,22,4,11.0,294.0,1535.0,5.2,21.0,0,0.5,0.0,7.8,7.8,6.4,93.6,0.1,1.4,1.4,0.4,53.1,0.7,27.3,27.3,8.9,-7.8,11.3,11.3,-6.3,7.90,189.60,189.60,63.63,2.63,21.07,21.07,9.28,-4.9,110.6,0.00,4.85,-7.8,-9.5,-19.2,11.3,,,31.74962395,102.9,4.58,69,215,15,35.5,116,4.42,7.15,97.72519452,85.96834617,9.5,30.75,0,0,0,1,1,7.656666667
Rod Smith,Smith150RB,Ohio State,Big Ten,UDFA,UDFA,RB,2015,23,4,9.0,116.0,643.0,5.5,24.0,0,0.4,11.5,20.4,7.3,14.6,85.4,0.2,0.3,0.1,0.2,7.3,2.6,3.7,5.3,3.2,-13.3,-3.3,-3.3,-11.5,21.10,41.90,47.00,33.33,5.28,8.38,8.38,5.69,-5.4,126.3,0.00,3.88,,-13.3,-15.0,-14.6,-3.3,,31.43303012,126.5,4.53,70.625,223,21,35,124,4.1,6.95,105.9112395,97.62000152,NA,NA,0,0,0,0,0,3.78
Terron Ward,Ward150RB,Oregon State,Pac-12,UDFA,UDFA,RB,2015,23,3,58.0,302.0,1582.0,5.2,34.0,1,1.7,26.5,35.0,35.0,27.5,72.5,0.4,0.8,0.8,0.6,37.6,7.6,22.2,22.2,14.1,-8.3,6.2,6.2,-3.3,48.70,162.40,162.40,102.17,4.87,12.49,12.49,8.68,-2.4,73.9,0.00,4.31,,-8.3,-7.7,6.2,,,31.91708918,102.9,4.61,65.875,197,20,29.5,107,4.34,7.25,87.23535249,69.92849979,NA,NA,0,0,0,0,0,3.726666667
Mack Brown,Brown150RB,Florida,SEC,UDFA,UDFA,RB,2015,23,4,14.0,202.0,767.0,3.8,24.0,0,0.6,0.0,9.5,9.5,7.4,92.6,0.0,1.0,1.0,0.3,29.7,0.3,15.5,15.5,4.3,-8.2,-0.5,-0.5,-10.8,110.50,95.00,110.50,73.60,9.21,7.92,9.21,6.75,-6.5,132.6,0.00,2.85,-8.2,-15.4,-19.2,-0.5,,,29.84154118,99.5,4.68,74.25,234,17,32.5,109,4.25,7.14,97.55789944,99.40425567,9.5,32.375,0,0,0,0,0,2.485
Akeem Hunt,Hunt150RB,Purdue,Big Ten,UDFA,UDFA,RB,2015,22,4,100.0,471.0,2876.0,6.1,42.0,2,2.4,1.4,42.3,23.6,29.2,70.8,0.3,1.5,1.5,0.9,44.2,5.3,27.7,27.7,17.1,-3.1,11.7,11.7,1.9,42.10,220.20,220.20,122.40,7.02,18.35,18.35,11.08,0.0,130.3,0.00,7.05,-3.1,-5.6,4.6,11.7,,,27.31314357,115.8,4.45,69.75,189,14,37.5,122,4.12,6.76,96.39438923,86.63127897,9,31.5,0,0,0,0,0,1.963333333
Terrence Magee,Magee150RB,LSU,SEC,UDFA,UDFA,RB,2015,22,4,24.0,250.0,1557.0,6.2,33.0,0,0.7,0.0,100.0,23.0,14.6,85.4,0.2,0.8,0.8,0.5,19.1,1.9,9.8,11.7,5.8,-6.6,-6.2,-6.2,-9.3,19.30,111.40,121.50,63.48,3.86,8.57,9.35,5.66,-5.0,101.4,0.00,3.52,-6.6,-15.8,-8.6,-6.2,,,32.1493798,112.6,4.67,68.25,213,22,37,115,4.37,7.52,89.56577267,77.08413606,9,30,0,0,0,0,0,1.45
Trey Williams,Williams150RB,Texas A&M,SEC,UDFA,UDFA,RB,2015,22,3,38.0,242.0,1673.0,6.9,33.0,0,1.2,31.3,31.3,15.8,19.7,80.3,0.5,0.7,0.7,0.6,31.6,6.7,17.1,17.1,11.0,-9.2,1.1,1.1,-6.4,96.70,130.50,130.50,106.43,9.67,10.88,10.88,9.64,-3.5,109.6,0.00,5.76,,-9.2,-11.2,1.1,,,29.97908424,114,4.505,67.625,195,18,33.5,119,4.12,6.84,94.6859249,79.98983615,8.25,29.875,-,-,-,-,-,-
Alonzo Harris,Harris150RB,Louisiana,Sun Belt,UDFA,UDFA,RB,2015,22,4,28.0,732.0,3564.0,4.9,48.0,0,0.6,17.3,17.3,3.7,6.6,93.4,1.0,1.1,0.9,1.0,37.5,23.0,16.8,23.0,18.9,14.5,0.8,14.5,3.8,152.60,161.80,185.20,163.60,12.72,13.48,14.25,13.63,1.7,128.7,0.00,5.65,14.5,0.5,-0.7,0.8,,,31.26805974,95.4,4.71,73,237,15,36,127,4.56,7.23,96.31517391,94.86088707,NA,NA,0,0,0,0,0,0.63
Raheem Mostert,Mostert150RB,Purdue,Big Ten,UDFA,UDFA,RB,2015,23,3,1.0,44.0,236.0,5.4,16.0,0,0.1,0.0,14.0,14.0,2.5,97.5,0.1,0.1,0.1,0.1,4.5,3.4,1.2,3.4,2.4,-12.5,-14.8,-12.5,-15.0,22.80,5.30,22.80,14.20,3.80,1.06,3.80,2.59,-6.1,136.3,0.00,3.55,,-12.5,-17.7,-14.8,,,27.68191323,120.8,4.43,70.375,195,20,40,132,4.35,6.95,101.2627464,92.65229361,NA,NA,0,0,0,1,0,1
Charles Sims,Sims1469RB,West Virginia,Big 12,3,69,RB,2014,23,4,203.0,795.0,5573.0,7.0,48.0,4,4.2,52.1,52.1,26.8,37.8,62.2,1.3,1.7,1.7,1.4,61.0,22.8,38.4,38.4,28.4,14.3,31.4,31.4,15.5,275.70,278.60,278.60,266.58,19.69,23.22,27.04,22.65,3.7,136.5,11.43,12.05,14.3,,0.4,15.9,31.4,,29.02331984,114.3,4.48,72,214,17,37.5,126,4.3,7.16,106.2506787,101.7794296,8.25,31,0,0,1,1,0,9.306666667
Bishop Sankey,Sankey1454RB,Washington,Pac-12,2,54,RB,2014,21,3,67.0,711.0,4063.0,5.7,34.0,2,2.0,7.0,14.8,14.0,14.0,86.0,0.2,2.2,2.2,1.4,69.6,3.7,32.5,42.6,26.3,-4.7,12.3,26.7,11.4,32.10,371.40,371.40,233.77,4.01,28.57,28.57,18.50,6.2,127.8,10.78,10.43,-4.7,26.7,12.3,,,,30.42110494,137.6,4.49,69.5,209,26,35.5,126,4,6.75,102.8468318,91.78622193,10,31,0,0,0,0,0,6.16
Dri Archer,Archer1497RB,Kent State,MAC,3,97,RB,2014,23,3,80.0,347.0,3059.0,8.8,34.0,2,2.4,34.9,38.3,38.3,31.5,68.5,0.3,2.2,1.1,1.2,37.6,7.2,26.1,35.5,23.0,-1.2,10.1,15.3,8.1,49.50,170.40,363.20,194.37,4.95,17.04,25.94,15.98,3.1,NA,9.79,10.61,-1.2,,15.3,10.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.06
Jeremy Hill,Hill1455RB,LSU,SEC,2,55,RB,2014,21,2,26.0,371.0,2410.0,6.5,22.0,0,1.2,8.8,11.4,11.4,10.5,89.5,0.9,1.9,1.9,1.4,47.9,19.3,25.3,25.3,22.3,3.4,5.1,5.1,4.3,162.80,272.20,272.20,217.50,16.28,22.68,22.68,19.48,1.7,124.7,9.73,8.83,,3.4,5.1,,,,31.05860443,96.8,4.645,72.625,233,20,30,113,4.64,7.69,100.1020666,97.57686411,10.375,32.625,0,1,3,3,2,11.88666667
Tre Mason,Mason1475RB,Auburn,SEC,3,75,RB,2014,21,2,19.0,507.0,3067.0,6.0,26.0,0,0.7,7.9,8.2,8.2,8.1,91.9,1.6,2.0,2.0,1.8,47.8,27.2,24.7,27.2,26.0,11.3,4.5,11.3,7.9,163.80,353.90,353.90,258.85,13.65,25.28,25.28,19.46,3.1,118.0,9.57,9.39,,11.3,4.5,,,,31.01612297,124,4.5,68.5,207,NA,38.5,126,4.15,NA,100.9602195,87.52430124,9,30,0,0,0,1,0,7.64
Andre Williams,Williams14113RB,Boston College,ACC,4,113,RB,2014,22,3,6.0,615.0,3323.0,5.4,32.0,0,0.2,2.1,5.5,0.0,1.4,98.6,0.7,2.3,2.3,1.2,76.7,16.6,38.3,38.3,27.5,8.1,18.1,18.1,12.6,78.80,325.70,325.70,164.77,7.88,25.05,25.05,14.30,6.2,122.0,8.93,9.91,8.1,11.6,18.1,,,,31.74197175,131.3,4.575,71.375,230,NA,38,129,4.06,7.27,105.0010007,98.8543596,NA,NA,0,0,0,1,0,5.425
Carlos Hyde,Hyde1457RB,Ohio State,Big Ten,2,57,RB,2014,23,4,34.0,557.0,3469.0,6.2,38.0,0,0.9,0.0,11.4,8.8,7.8,92.2,0.2,1.7,1.7,1.0,36.6,1.2,20.3,21.0,14.2,-14.7,13.4,13.4,-0.6,14.10,290.80,290.80,156.73,2.35,26.44,26.44,15.00,-2.6,124.4,8.29,6.65,,-14.7,-6.0,5.0,13.4,,31.30188042,NA,4.66,71.875,230,19,34.5,114,NA,NA,97.54705558,93.12901422,9.625,32,0,1,2,3,3,10.76333333
Ka'Deem Carey,Carey14117RB,Arizona,Pac-12,4,117,RB,2014,21,3,77.0,820.0,4918.0,6.0,36.0,2,2.1,32.3,32.3,8.4,13.8,86.2,0.7,2.1,2.0,1.6,60.4,20.7,30.0,36.5,29.1,12.3,9.8,20.5,14.2,125.80,351.80,403.20,293.60,11.44,29.32,31.02,23.92,6.9,138.6,8.22,8.95,12.3,20.5,9.8,,,,30.23866826,99.6,4.735,69.375,207,19,33.75,114,4.38,7.08,82.36077181,73.23759554,9.5,31.75,0,0,0,0,0,3.683333333
Devonta Freeman,Freeman14103RB,Florida State,ACC,4,103,RB,2014,22,3,47.0,451.0,2730.0,6.1,37.0,1,1.3,16.1,21.5,21.5,17.4,82.6,0.8,1.4,1.4,1.0,36.8,20.6,19.3,20.6,17.0,4.6,3.3,4.6,-0.4,132.00,241.40,241.40,168.67,11.00,17.24,17.24,13.43,-0.5,107.5,7.17,6.76,,4.6,-9.0,3.3,,,31.09282742,110,4.58,68.25,206,14,31.75,117,4.26,7.11,93.63437242,80.58064956,9.625,29.375,1,2,4,4,3,14.98
James White,White14130RB,Wisconsin,Big Ten,4,130,RB,2014,22,6,58.0,429.0,2151.0,5.0,50.0,2,1.2,29.4,43.3,3.0,19.2,80.8,0.0,0.9,0.2,0.4,22.5,0.2,4.3,21.2,8.3,-8.2,4.1,5.3,-3.1,2.70,28.20,166.90,62.52,0.68,3.13,13.91,6.46,-1.4,119.6,4.35,3.44,-8.2,5.3,-7.6,-10.6,-1.2,4.1,30.01637111,116.1,4.57,69.125,204,23,32,114,4.2,7.05,93.53956864,82.57684575,8.25,29.25,0,1,3,4,0,8.316666667
Marion Grice,Grice14201RB,Arizona State,Pac-12,6,201,RB,2014,23,2,91.0,385.0,2538.0,6.6,24.0,2,3.8,38.5,38.5,30.5,34.0,66.0,1.1,1.3,1.3,1.2,38.0,25.7,27.1,27.1,26.4,9.7,20.1,20.1,14.9,265.40,313.40,313.40,289.40,20.42,28.49,28.49,24.45,2.3,164.4,3.54,5.02,,,,9.7,20.1,,28.2095819,89.8,4.72,72,208,14,32,115,4.46,7.11,83.81569221,80.28448659,NA,NA,0,0,0,0,0,3.36
Storm Johnson,Johnson14222RB,UCF,American,7,222,RB,2014,22,3,41.0,376.0,2054.0,5.5,28.0,1,1.5,7.0,18.6,18.6,14.1,85.9,0.1,1.1,1.1,0.5,53.0,2.6,31.1,31.1,14.0,-5.9,15.1,15.1,-0.9,19.80,271.90,271.90,126.13,4.95,20.92,20.92,11.25,-1.9,136.6,3.26,5.42,-5.9,,-12.1,15.1,,,28.6427903,NA,4.595,71.625,209,17.5,34.75,119.5,NA,NA,93.76358821,88.88008477,9.5,32,0,0,0,0,0,4.24
Alfred Blue,Blue14181RB,LSU,SEC,6,181,RB,2014,23,4,15.0,224.0,1361.0,6.1,31.0,0,0.5,1.0,15.3,15.3,7.9,92.1,0.1,0.6,0.5,0.4,13.6,1.9,4.4,9.7,5.3,-14.0,-2.6,-2.6,-9.5,17.20,51.50,97.90,54.28,3.44,3.96,16.83,8.51,-4.6,150.7,3.02,3.40,,-14.0,-10.6,-10.9,-2.6,,28.34322164,91.2,4.7,74.375,223,13,32,121,4.5,7.15,91.3994173,93.43612958,9.875,32.375,0,0,0,0,0,5.806666667
Jay Prosch,Prosch14211RB,Auburn,SEC,6,211,RB,2014,22,4,11.0,25.0,162.0,6.5,14.0,0,0.8,100.0,100.0,100.0,71.0,29.0,0.0,0.1,0.1,0.0,3.6,0.0,2.2,3.9,1.6,-8.5,-13.8,-8.5,-13.6,1.10,20.50,22.70,11.30,1.10,6.83,6.83,2.81,-6.8,110.0,1.62,2.41,-8.5,-15.8,-16.4,-13.8,,,33.62597521,120.1,4.77,72.875,254,27,32,109,4.45,7.38,98.12737837,96.32487242,NA,NA,0,0,0,0,0,0.8633333333
Isaiah Crowell,Crowell140RB,Georgia,SEC,UDFA,UDFA,RB,2014,21,1,8.0,193.0,909.0,4.7,12.0,0,0.7,6.5,6.5,6.5,6.5,93.5,0.9,0.9,0.9,0.9,35.0,18.6,18.6,18.6,18.6,10.1,10.1,10.1,-,134.90,134.90,134.90,-,11.24,11.24,11.24,-,0.8,123.6,0.00,0.00,10.1,,,,,,31.24133819,115.5,4.57,71,224,23,38,116,4.61,7.33,102.7101146,95.6790827,9.25,31.375,0,0,1,5,1,10.06666667
George Atkinson,Atkinson140RB,Notre Dame,Ind,UDFA,UDFA,RB,2014,21,3,10.0,163.0,1008.0,6.2,26.0,0,0.4,27.0,27.0,8.4,6.4,93.6,0.0,0.7,0.7,0.4,26.5,2.4,13.6,13.6,8.4,-6.1,-6.7,-6.1,-6.5,16.70,85.60,85.60,56.93,5.57,7.13,7.13,6.31,-3.1,NA,0.00,4.63,-6.1,-6.8,-6.7,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
